자전거보관소명,소재지도로명주소,소재지지번주소,보관대수,공기주입기비치여부,수리대설치여부,관리기관전화번호,관리기관명,데이터기준일자
조류생태전시관,충청남도 서천군 마서면 장산로 916,충청남도 서천군 마서면 도삼리 59,40,N,N,041-950-4114,충청남도 서천군청,2024-07-12
갈숲마을,충청남도 서천군 한산면 신성로 283,,30,N,N,041-950-4114,충청남도 서천군청,2024-07-12
장항도선장앞 광장,충청남도 서천군 장항읍 장산로 300-3,,10,N,N,041-950-4114,충청남도 서천군청,2024-07-12
장항화물역,충청남도 서천군 장항읍 장항로 145번길 30,충청남도 서천군 장항읍 신창리 137-1,5,N,N,041-950-6850,충청남도 서천군청,2024-07-12
봄의마을광장,충청남도 서천군 서천읍 군청로 16-1,,20,N,N,041-950-6850,충청남도 서천군청,2024-07-12
광석면 사월3리 버스정류장,,충청남도 논산시 광석면 사월리 395-1,7,N,N,041-746-6274,충청남도 논산시청,2023-12-31
논산지구대,,충청남도 논산시 반월동 105-3,10,N,N,041-746-6274,충청남도 논산시청,2023-12-31
논산제이파크1단지아파트,,충청남도 논산시 내동 272,14,N,N,041-746-6274,충청남도 논산시청,2023-12-31
황산리근린공원,,충청남도 논산시 강경읍 황산리 81-23,7,N,N,041-746-6274,충청남도 논산시청,2023-12-31
화정2리 복지회관,,충청남도 논산시 채운면 화정리 26-7,10,N,N,041-746-6274,충청남도 논산시청,2023-12-31
홈플러스 논산점,,충청남도 논산시 내동 436-8,14,N,N,041-746-6274,충청남도 논산시청,2023-12-31
현대아파트,,충청남도 논산시 강경읍 홍교리 94-1,25,N,N,041-746-6274,충청남도 논산시청,2023-12-31
한청리츠빌아파트,,충청남도 논산시 반월동 173-3,20,N,N,041-746-6274,충청남도 논산시청,2023-12-31
한국수자원공사 논산수도센터,,충청남도 논산시 취암동 73,8,N,N,041-746-6274,충청남도 논산시청,2023-12-31
취암리슈빌아파트,,충청남도 논산시 취암동 1081,160,N,N,041-746-6274,충청남도 논산시청,2023-12-31
취암동주민센터,,충청남도 논산시 부창동 37-15,10,N,N,041-746-6274,충청남도 논산시청,2023-12-31
천동보건진료소,,충청남도 논산시 광석면 천동리 74-1,10,N,N,041-746-6274,충청남도 논산시청,2023-12-31
채운초등학교,,충청남도 논산시 채운면 야화리 2-1,10,N,N,041-746-6274,충청남도 논산시청,2023-12-31
채운면사무소,,충청남도 논산시 채운면 화산리 352-1,10,N,N,041-746-6274,충청남도 논산시청,2023-12-31
주공아파트,,충청남도 논산시 취암동 80,80,N,N,041-746-6274,충청남도 논산시청,2023-12-31
조흥마을아파트,,충청남도 논산시 강경읍 대흥리 35,56,N,N,041-746-6274,충청남도 논산시청,2023-12-31
조흥로즈빌아파트,,충청남도 논산시 화지동 16,28,N,N,041-746-6274,충청남도 논산시청,2023-12-31
전견훤묘 주차장,,충청남도 논산시 연무읍 금곡리 342-1,10,N,N,041-746-6274,충청남도 논산시청,2023-12-31
이화초등학교,,충청남도 논산시 채운면 심암리 351,20,N,N,041-746-6274,충청남도 논산시청,2023-12-31
은진면사무소,,충청남도 논산시 은진면 연서리 181-1,10,N,N,041-746-6274,충청남도 논산시청,2023-12-31
연산역,,충청남도 논산시 연산면 청동리 127-74,6,N,N,041-746-6274,충청남도 논산시청,2023-12-31
연산면사무소,,충청남도 논산시 연산면 청동리 127-7,10,N,N,041-746-6274,충청남도 논산시청,2023-12-31
연무휴먼시아아파트,,충청남도 논산시 연무읍 안심리 1-171,60,N,N,041-746-6274,충청남도 논산시청,2023-12-31
연무읍사무소,,충청남도 논산시 연무읍 마산리 700-1,20,N,N,041-746-6274,충청남도 논산시청,2023-12-31
연무도서관,,충청남도 논산시 연무읍 안심리 산 225-6,10,N,N,041-746-6274,충청남도 논산시청,2023-12-31
양촌면사무소,,충청남도 논산시 양촌면 인천리 411-3,10,N,N,041-746-6274,충청남도 논산시청,2023-12-31
아주아파트,,충청남도 논산시 내동 968,90,N,N,041-746-6274,충청남도 논산시청,2023-12-31
쌘뽈여자고등학교,,충청남도 논산시 부창동 1,10,N,N,041-746-6274,충청남도 논산시청,2023-12-31
쌘뽈여자고등학교,,충청남도 논산시 부창동 1,10,N,N,041-746-6274,충청남도 논산시청,2023-12-31
시외버스터미널,,충청남도 논산시 취암동 1045-1,13,N,N,041-746-6274,충청남도 논산시청,2023-12-31
시내버스터미널,,충청남도 논산시 화지동 17-1,14,N,N,041-746-6274,충청남도 논산시청,2023-12-31
세중참사랑아파트,,충청남도 논산시 취암동 83-1,10,N,N,041-746-6274,충청남도 논산시청,2023-12-31
세중세미클래식아파트,,충청남도 논산시 취암동 79,20,N,N,041-746-6274,충청남도 논산시청,2023-12-31
성동면사무소,,충청남도 논산시 성동면 원남리 394-8,10,N,N,041-746-6274,충청남도 논산시청,2023-12-31
상월면사무소,,충청남도 논산시 상월면 신충리 53-2,10,N,N,041-746-6274,충청남도 논산시청,2023-12-31
산노1리 마을회관,,충청남도 논산시 가야곡면 산노리 493-1,10,N,N,041-746-6274,충청남도 논산시청,2023-12-31
북옥리 마을회관,,충청남도 논산시 강경읍 홍교리 32-2,10,N,N,041-746-6274,충청남도 논산시청,2023-12-31
부창주공아파트,,충청남도 논산시 부창동 274-43,10,N,N,041-746-6274,충청남도 논산시청,2023-12-31
정산도서관,충청남도 청양군 정산면 역말길 5-5,충청남도 청양군 정산면 서정리 22,10,N,N,041-940-2385,충청남도 청양군청,2023-12-08
정산시외버스터미널,충청남도 청양군 정산면 칠갑산로 1912,충청남도 청양군 정산면 서정리 156-37,10,N,N,041-940-2385,충청남도 청양군청,2023-12-08
청양시외버스터미널,충청남도 청양군 청양읍 중앙로 142,충청남도 청양군 청양읍 읍내리 208-4,20,N,N,041-940-2385,충청남도 청양군청,2023-12-08
비봉면소재지,충청남도 청양군 비봉면 충절로 1999,충청남도 청양군 비봉면 록평리 68-4,7,N,N,041-940-2385,충청남도 청양군청,2023-12-08
서천군청,"충청남도 서천군 서천읍 서림로 19, 서천군청",충청남도 서천군 서천읍 군사리 52-5 서천군청,50,N,N,041-950-4150,충청남도 서천군청,2024-07-12
성환읍 행정복지센터,충청남도 천안시 서북구 성환읍 성환13길7,충청남도 천안시 서북구 성환읍 성환리 274-1,5,N,N,041-521-5546,충청남도 천안시청,2024-07-15
직산읍 행정복지센터,충청남도 천안시 서북구 직산읍 삼은4길2,충청남도 천안시 서북구 직산읍 삼은리 76-189,5,N,N,041-521-5546,충청남도 천안시청,2024-07-15
삼은초,충청남도 천안시 서북구 직산읍 삼은2길11,충청남도 천안시 서북구 직산읍 삼은리 76-16,10,N,N,041-521-5546,충청남도 천안시청,2024-07-15
업성초,충청남도 천안시 서북구 업성5길20,충청남도 천안시 서북구 업성동 99-1,5,N,N,041-521-5546,충청남도 천안시청,2024-07-15
직산역,충청남도 천안시 서북구 직산읍 천안대로1471-33,충청남도 천안시 서북구 직산읍 모시리 9-9,266,N,N,041-521-5546,충청남도 천안시청,2024-07-15
성환역,충청남도 천안시 서북구 성환읍 성환1로 237-5,,252,N,N,041-521-5546,충청남도 천안시청,2024-07-15
가온중,충청남도 천안시 동남구 청수6로 83,충청남도 천안시 동남구 청당동 482,20,N,N,041-521-5546,충청남도 천안시청,2024-07-15
천안여중,충청남도 천안시 동남구 원거리 11길 31,충청남도 천안시 동남구 원성동 559-1,20,N,N,041-521-5546,충청남도 천안시청,2024-07-15
중앙도서관,충청남도 천안시 동남구 중앙로 118,충청남도 천안시 동남구 원성동 261-38,18,N,N,041-521-5546,충청남도 천안시청,2024-07-15
원성1동 행정복지센터,충청남도 천안시 동남구 성황로 125,,10,N,N,041-521-5546,충청남도 천안시청,2024-07-15
용암초,충청남도 천안시 서북구 월봉로 147,충청남도 천안시 서북구 쌍용동 1922,5,N,N,041-521-5546,충청남도 천안시청,2024-07-15
미라초,충청남도 천안시 서북구 미라2길 13,충청남도 천안시 서북구 쌍용동 1270,10,N,N,041-521-5546,충청남도 천안시청,2024-07-15
봉서중,충청남도 천안시 서북구 미라1길 48,,10,N,N,041-521-5546,충청남도 천안시청,2024-07-15
새샘초,충청남도 천안시 동남구 통정9로 58,충청남도 천안시 동남구 신방동 2166,6,N,N,041-521-5546,충청남도 천안시청,2024-07-15
청수고,충청남도 천안시 동남구 청수로 82-46,충청남도 천안시 동남구 청수동 434,56,N,N,041-521-5546,충청남도 천안시청,2024-07-15
삼용동천안삼거리공원주차장,충청남도 천안시 동남구 삼룡동 118-9,,10,N,N,041-521-5546,충청남도 천안시청,2024-07-15
쌍용2동 행정복지센터앞,충청남도 천안시 서북구 쌍용14길 70,충청남도 천안시 서북구 쌍용동 784,10,N,N,041-521-5546,충청남도 천안시청,2024-07-15
이마트,충청남도 천안시 서북구 충무로 187,충청남도 천안시 서북구 쌍용동 196-4,20,N,N,041-521-5546,충청남도 천안시청,2024-07-15
쌍용역,충청남도 천안시 서북구 쌍용 19로 20,충청남도 천안시 서북구 쌍용동 426-3,63,N,N,041-521-5546,충청남도 천안시청,2024-07-15
나사렛대,충청남도 천안시 서북구 쌍용14길 46-20,충청남도 천안시 서북구 쌍용동 456,100,N,N,041-521-5546,충청남도 천안시청,2024-07-15
천안아산역,충청남도 천안시 배방읍 희망로 100,,59,N,N,041-521-5546,충청남도 천안시청,2024-07-15
삼룡천 지내,충청남도 천안시 동남구 구성동503,,10,N,N,041-521-5546,충청남도 천안시청,2024-07-15
홈플러스,충청남도 천안시 동남구 천안대로 574,충청남도 천안시 동남구 구성동 50,20,N,N,041-521-5546,충청남도 천안시청,2024-07-15
천안교육청,충청남도 천안시 서북구 광장로 239,충청남도 천안시 서북구 불당동 1423,20,N,N,041-521-5546,충청남도 천안시청,2024-07-15
월봉중,충청남도 천안시 서북구 광장로 245,충청남도 천안시 서북구 불당동 1425,40,N,N,041-521-5546,충청남도 천안시청,2024-07-15
쌍용중,충청남도 천안시 서북구 쌍용12길 13,충청남도 천안시 서북구 쌍용동 1927,32,N,N,041-521-5546,충청남도 천안시청,2024-07-15
쌍용3동 행정복지센터앞,충청남도 천안시 서북구 월봉로 138,충청남도 천안시 서북구 쌍용동 1950,20,N,N,041-521-5546,충청남도 천안시청,2024-07-15
불당유적공원,충청남도 천안시 서북구 불당동 815,,7,N,N,041-521-5546,충청남도 천안시청,2024-07-15
천안고,충청남도 천안시 동남구 봉명로 53,충청남도 천안시 동남구 봉명동 228,40,N,N,041-521-5546,충청남도 천안시청,2024-07-15
천안여상/서여중,충청남도 천안시 동남구 천안여상로 44,충청남도 천안시 동남구 봉명동 30-10,20,N,N,041-521-5546,충청남도 천안시청,2024-07-15
동남구청,충청남도 천안시 동남구 영성로 98,,11,N,N,041-521-5546,충청남도 천안시청,2024-07-15
천안역동,충청남도 천안시 동남구 대흥동 239,,110,N,N,041-521-5546,충청남도 천안시청,2024-07-15
천안역서,충청남도 천안시 서북구 와촌동 89-12,,239,N,N,041-521-5546,충청남도 천안시청,2024-07-15
문성동 행정복지센터앞,충청남도 천안시 동남구 문화로 15,충청남도 천안시 동남구 문화동 39-4,10,N,N,041-521-5546,충청남도 천안시청,2024-07-15
충남학생회관,충청남도 천안시 동남구 옛농고1길 41,충청남도 천안시 동남구 원성동 431-9,15,N,N,041-521-5546,충청남도 천안시청,2024-07-15
천안중,충청남도 천안시 동남구 충절로 90,충청남도 천안시 동남구 원성동 238-55,40,N,N,041-521-5546,충청남도 천안시청,2024-07-15
원성1동 중앙고앞,충청남도 천안시 동남구 충절로 91,충청남도 천안시 동남구 원성동 460-1,7,N,N,041-521-5546,충청남도 천안시청,2024-07-15
천성중,충청남도 천안시 동남구 벌말1길 7,충청남도 천안시 동남구 유량동 393-20,75,N,N,041-521-5546,충청남도 천안시청,2024-07-15
천안시청,충청남도 천안시 서북구 번영로 156,충청남도 천안시 서북구 불당동 234-1,30,N,N,041-521-5546,충청남도 천안시청,2024-07-15
성정초,충청남도 천안시 서북구 성정7길 3,충청남도 천안시 서북구 성정동 781,12,N,N,041-521-5546,충청남도 천안시청,2024-07-15
복자여중고,충청남도 천안시 동남구 복자1길 1,충청남도 천안시 동남구 성황동 9-9,10,N,N,041-521-5546,충청남도 천안시청,2024-07-15
천안공고,충청남도 천안시 동남구 성황5길 17,,20,N,N,041-521-5546,충청남도 천안시청,2024-07-15
천안북중,충청남도 천안시 동남구 중앙로 188,충청남도 천안시 동남구 신부동 387-128,5,N,N,041-521-5546,충청남도 천안시청,2024-07-15
법원/검찰청,충청남도 천안시 동남구 신부7길 17,충청남도 천안시 동남구 신부동 77-33,20,N,N,041-521-5546,충청남도 천안시청,2024-07-15
시민회관,충청남도 천안시 동남구 신부2길 12,충청남도 천안시 동남구 신부동 532,6,N,N,041-521-5546,충청남도 천안시청,2024-07-15
신부동 대한생명앞,충청남도 천안시 동남구 충절로 11,충청남도 천안시 동남구 신부동 532,14,N,N,041-521-5546,충청남도 천안시청,2024-07-15
종합운동장,충청남도 천안시 서북구 번영로 208,충청남도 천안시 서북구 불당동 669-1,6,N,N,041-521-5546,충청남도 천안시청,2024-07-15
백석초중,충청남도 천안시 서북구 백석3로 98,충청남도 천안시 서북구 백석동 902,10,N,N,041-521-5546,충청남도 천안시청,2024-07-15
우편집중국,충청남도 천안시 서북구 백석3로 105,충청남도 천안시 서북구 백석동 898,9,N,N,041-521-5546,충청남도 천안시청,2024-07-15
서초등학교,충청남도 천안시 서북구 서부 16길 27,충청남도 천안시 서북구 성정동 759,8,N,N,041-521-5546,충청남도 천안시청,2024-07-15
천안축구센터,충청남도 천안시 서북구 축구센터로 150,충청남도 천안시 서북구 성정동 51-7,20,N,N,041-521-5546,충청남도 천안시청,2024-07-15
신안동 행정복지센터앞,충청남도 천안시 동남구먹거리11길45,충청남도 천안시 동남구 신부동 462-15,7,N,N,041-521-5546,충청남도 천안시청,2024-07-15
방죽안오거리 아래,충청남도 천안시 동남구 만남로 6,충청남도 천안시 동남구 신부동 451-9,22,N,N,041-521-5546,충청남도 천안시청,2024-07-15
터미널 좌측,충청남도 천안시 동남구 만남로 9,충청남도 천안시 동남구 신부동 966,12,N,N,041-521-5546,충청남도 천안시청,2024-07-15
터미널,충청남도 천안시 동남구 만남로 43,충청남도 천안시 동남구 신부동 97-7,18,N,N,041-521-5546,충청남도 천안시청,2024-07-15
신안초,충청남도 천안시 동남구 원성25길 21,충청남도 천안시 동남구 원성동 31-15,16,N,N,041-521-5546,충청남도 천안시청,2024-07-15
여성회관,충청남도 천안시 서북구 봉정로 343,충청남도 천안시 서북구 두정동 1503,7,N,N,041-521-5546,충청남도 천안시청,2024-07-15
롯데마트,충청남도 천안시 서북구 성정두정로1,,20,N,N,041-521-5546,충청남도 천안시청,2024-07-15
두정고,충청남도 천안시 서북구 두정고 2길 13,충청남도 천안시 서북구 두정동 2007,35,N,N,041-521-5546,충청남도 천안시청,2024-07-15
오성중,충청남도 천안시 서북구 두정고 1길 25,충청남도 천안시 서북구 두정동 2009,28,N,N,041-521-5546,충청남도 천안시청,2024-07-15
성성중,충청남도 천안시 서북구 부성1길 83,충청남도 천안시 서북구 두정동 1062,44,N,N,041-521-5546,충청남도 천안시청,2024-07-15
두정도서관,충청남도 천안시 서북구 부성3길 9,충청남도 천안시 서북구 두정동 985,21,N,N,041-521-5546,충청남도 천안시청,2024-07-15
부성초,충청남도 천안시 서북구 부성1길 16,충청남도 천안시 서북구 두정동 956,21,N,N,041-521-5546,충청남도 천안시청,2024-07-15
두정역,충청남도 천안시 서북구 두정로 289,충청남도 천안시 서북구 두정동 85-9,35,N,N,041-521-5546,충청남도 천안시청,2024-07-15
단국대학교,충청남도 천안시 동남구 단대로 119,충청남도 천안시 동남구 안서동 산 34-5,30,N,N,041-521-5546,충청남도 천안시청,2024-07-15
오성고,충청남도 천안시 서북구 과수원길 27,충청남도 천안시 서북구 성성동 1-4,96,N,N,041-521-5546,충청남도 천안시청,2024-07-15
신당고,충청남도 천안시 서북구 신당새터 2길 36,충청남도 천안시 서북구 신당동 595-11,20,N,N,041-521-5546,충청남도 천안시청,2024-07-15
부성1동 행정복지센터,충청남도 천안시 서북구 부대중앙길 51,충청남도 천안시 서북구 부대동 133-21,7,N,N,041-521-5546,충청남도 천안시청,2024-07-15
공주대 천안캠퍼스,충청남도 천안시 서북구 신당동 592,,60,N,N,041-521-5546,충청남도 천안시청,2024-07-15
구불당 스타벅스 뒤 공영주차장,충청남도 천안시 서북구,충청남도 천안시 서북구 불당동 735,10,N,N,041-521-5546,충청남도 천안시청,2024-07-15
GS25,충청남도 천안시 서북구 번영로 100,충청남도 천안시 서북구 불당동 727,10,N,N,041-521-5546,충청남도 천안시청,2024-07-15
쌍용2동 우체국 옆,충청남도 천안시 서북구 월봉로 82,충청남도 천안시 서북구 쌍용동 1524,10,N,N,041-521-5546,충청남도 천안시청,2024-07-15
청당동 스타벅스,충청남도 천안시 서북구 청수14로 102,충청남도 천안시 서북구 청당동 552,10,N,N,041-521-5546,충청남도 천안시청,2024-07-15
우리은행,충청남도 천안시 서북구 청수14로 56,충청남도 천안시 서북구 청당동 490,10,N,N,041-521-5546,충청남도 천안시청,2024-07-15
성성초등학교,충청남도 천안시 서북구 성성10길 77,충청남도 천안시 서북구 성성동 698,50,N,N,041-521-5546,충청남도 천안시청,2024-07-15
신방도서관,충청남도 천안시 동남구 통정4로 7,충청남도 천안시 동남구 신방동 1521,40,N,N,041-521-5546,충청남도 천안시청,2024-07-15
신촌초,충청남도 천안시 동남구 신촌4로 9,충청남도 천안시 동남구 신방동 768-1,14,N,N,041-521-5546,충청남도 천안시청,2024-07-15
신방동 행정복지센터,충청남도 천안시 동남구 천안천변길 129-41,충청남도 천안시 동남구 신방동 719-3,10,N,N,041-521-5546,충청남도 천안시청,2024-07-15
신방중,충청남도 천안시 동남구 신촌4로 46,충청남도 천안시 동남구 신방동 62-45,30,N,N,041-521-5546,충청남도 천안시청,2024-07-15
성정중,충청남도 천안시 서북구 성정중2길 40,충청남도 천안시 서북구 성정동 1152,40,N,N,041-521-5546,충청남도 천안시청,2024-07-15
성정2동 행정복지센터,충청남도 천안시 서북구 서부8길 29,충청남도 천안시 서북구 성정동 684-1,20,N,N,041-521-5546,충청남도 천안시청,2024-07-15
성성초,충청남도 천안시 서북구 성성 10길 77,,20,N,N,041-521-5546,충청남도 천안시청,2024-07-15
하늘소리공원,충청남도 천안시 서북구 불당동 1752,,10,N,N,041-521-5546,충청남도 천안시청,2024-07-15
아름드리공원,충청남도 천안시 서북구 불당동 21로 25,,20,N,N,041-521-5546,충청남도 천안시청,2024-07-15
불당고,충청남도 천안시 서북구 불당29로 22,,18,N,N,041-521-5546,충청남도 천안시청,2024-07-15
아름초,충청남도 천안시 서북구 불당23로 30,충청남도 천안시 서북구 불당동 1513,29,N,N,041-521-5546,충청남도 천안시청,2024-07-15
불무중,충청남도 천안시 서북구 불당23로 30,충청남도 천안시 서북구 불당동 1513,60,N,N,041-521-5546,충청남도 천안시청,2024-07-15
불당중,충청남도 천안시 서북구 불당11로 35,충청남도 천안시 서북구 불당동 830,40,N,N,041-521-5546,충청남도 천안시청,2024-07-15
월봉고,충청남도 천안시 서북구 불당11로 51,충청남도 천안시 서북구 불당동 827,20,N,N,041-521-5546,충청남도 천안시청,2024-07-15
서당초,충청남도 천안시 서북구 불당11로 63,충청남도 천안시 서북구 불당동 817,49,N,N,041-521-5546,충청남도 천안시청,2024-07-15
불무초,충청남도 천안시 서북구 불당23로 29,충청남도 천안시 서북구 불당동 1501,10,N,N,041-521-5546,충청남도 천안시청,2024-07-15
봉명역,충청남도 천안시 동남구 차돌로 51,충청남도 천안시 동남구 봉명동 산 57-6,60,N,N,041-521-5546,충청남도 천안시청,2024-07-15
백석동 행정복지센터,충청남도 천안시 서북구 번영로 208,충청남도 천안시 서북구 불당동 669-1,12,N,N,041-521-5546,충청남도 천안시청,2024-07-15
환서중,충청남도 천안시 서북구 한들3로 50,충청남도 천안시 서북구 백석동 31,95,N,N,041-521-5546,충청남도 천안시청,2024-07-15
천안시청소년수련관,충청남도 천안시 동남구 중앙로 111,충청남도 천안시 동남구 원성동 261-18,7,N,N,041-521-5546,충청남도 천안시청,2024-07-15
목천읍 행정복지센터,충청남도 천안시 동남구 목천읍 서리1길41-7,충청남도 천안시 동남구 목천읍 서리 93-1,17,N,N,041-521-5546,충청남도 천안시청,2024-07-15
성거읍성거초교앞,충청남도 천안시 서북구 성거읍 소댕이3길 606-21,,10,N,N,041-521-5546,충청남도 천안시청,2024-07-15
쌍정초,충청남도 천안시 서북구 충무로 5-44,충청남도 천안시 서북구 쌍용동 2076,39,N,N,041-521-5546,충청남도 천안시청,2024-07-15
용곡초,충청남도 천안시 동남구 새말1길 73,충청남도 천안시 동남구 용곡동 497-15,5,N,N,041-521-5546,충청남도 천안시청,2024-07-15
용곡중,충청남도 천안시 동남구 새말1길 51-14,충청남도 천안시 동남구 용곡동 476-9,6,N,N,041-521-5546,충청남도 천안시청,2024-07-15
삼거리 공원내,충청남도 천안시 동남구 삼룡동133-1,,80,N,N,041-521-5546,충청남도 천안시청,2024-07-15
천안박물관,충청남도 천안시 동남구 천안대로 429-13,충청남도 천안시 동남구 삼룡동 261-9,20,N,N,041-521-5546,충청남도 천안시청,2024-07-15
동남경찰서,충청남도 천안시 동남구 청수6로 73,충청남도 천안시 동남구 청당동 481,14,N,N,041-521-5546,충청남도 천안시청,2024-07-15
청룡동 행정복지센터,충청남도 천안시 동남구 청수14로 99,충청남도 천안시 동남구 청당동 479,10,N,N,041-521-5546,충청남도 천안시청,2024-07-15
"홍성 갈산중학교,고등학교",충청남도 홍성군 갈산면 상촌로9번길 27,충청남도 홍성군 갈산면 상촌리 227-1,20,N,N,041-630-1114,홍성군청,2024-07-31
홍성 연쇄골선착장 인근,,충청남도 홍성군 서부면 거차리 405-38,20,Y,N,041-630-1114,홍성군청,2024-07-31
홍성 풀무농업고등기술학교,충청남도 홍성군 홍동면 광금남로699번길 22-33,충청남도 홍성군 홍동면 팔괘리 664,20,N,N,041-630-1114,홍성군청,2024-07-31
홍성 홍동중학교,충청남도 홍성군 홍동면 광금남로 735,충청남도 홍성군 홍동면 구정리 716-1,30,N,N,041-630-1114,홍성군청,2024-07-31
한울마을사거리,,충청남도 홍성군 홍북읍 신경리 1864,9,N,N,041-630-1114,홍성군청,2024-07-31
지형놀이공원,,충청남도 홍성군 홍북읍 신경리 1371,9,N,N,041-630-1114,홍성군청,2024-07-31
내포 신리천공원,,충청남도 홍성군 홍북읍 신경리 1172,9,N,N,041-630-1114,홍성군청,2024-07-31
내포지구대주변,,충청남도 홍성군 홍북읍 신경리 1367,9,N,N,041-630-1114,홍성군청,2024-07-31
신리천공원(신리1저류지측),,충청남도 홍성군 홍북읍 신경리 1172,9,N,N,041-630-1114,홍성군청,2024-07-31
내포초교인근공원,,충청남도 홍성군 홍북읍 신경리 1367,9,N,N,041-630-1114,홍성군청,2024-07-31
신리체육공원인근공원,,충청남도 홍성군 홍북읍 신경리 1558,9,N,N,041-630-1114,홍성군청,2024-07-31
기차바람길공원,,충청남도 홍성군 홍북읍 신경리 975,9,N,N,041-630-1114,홍성군청,2024-07-31
근린공원5호,,충청남도 홍성군 홍북읍 신경리 934,9,N,N,041-630-1114,홍성군청,2024-07-31
내포 상아1교 남서측,,충청남도 홍성군 홍북읍 신경리 927,9,N,N,041-630-1114,홍성군청,2024-07-31
내포 상아1교 북측,,충청남도 홍성군 홍북읍 신경리 1764,9,N,N,041-630-1114,홍성군청,2024-07-31
내포 상아1교 남도측,,충청남도 홍성군 홍북읍 신경리 933,9,N,N,041-630-1114,홍성군청,2024-07-31
신경3교 남측,,충청남도 홍성군 홍북읍 신경리 1772,9,N,N,041-630-1114,홍성군청,2024-07-31
내포 두레마을사거리,,충청남도 홍성군 홍북읍 신경리 1745,9,N,N,041-630-1114,홍성군청,2024-07-31
애향공원,,충청남도 홍성군 홍북읍 신경리 1736,9,N,N,041-630-1114,홍성군청,2024-07-31
내포 시민1공원,,충청남도 홍성군 홍북읍 신경리 545,9,N,N,041-630-1114,홍성군청,2024-07-31
내포 시민2공원,,충청남도 홍성군 홍북읍 신경리 547,9,N,N,041-630-1114,홍성군청,2024-07-31
내포 홍예공원,충청남도 홍성군 홍북읍 홍예공원로 38,충청남도 홍성군 홍북읍 신경리 886,20,N,N,041-630-1114,홍성군청,2024-07-31
내포 홍성고등학교,충청남도 홍성군 홍북읍 홍학로 49,충청남도 홍성군 홍북읍 신경리 1174,40,N,N,041-630-1114,홍성군청,2024-07-31
내포중학교,충청남도 홍성군 홍북읍 홍학로 41,충청남도 홍성군 홍북읍 신경리 1175,50,N,N,041-630-1114,홍성군청,2024-07-31
내포 한울초등학교,충청남도 홍성군 홍북읍 홍학로 131,충청남도 홍성군 홍북읍 신경리 1206,10,N,N,041-630-1114,홍성군청,2024-07-31
내포초등학교,충청남도 홍성군 홍북읍 홍학로 38,충청남도 홍성군 홍북읍 신경리 1362,90,N,N,041-630-1114,홍성군청,2024-07-31
내포 충남보건환경연구원,충청남도 홍성군 홍북읍 홍예공원로 8,충청남도 홍성군 홍북읍 신경리 890,40,N,N,041-630-1114,홍성군청,2024-07-31
내포 충남도서관,충청남도 홍성군 홍북읍 도청대로 577,충청남도 홍성군 홍북읍 신경리 887,60,N,N,041-630-1114,홍성군청,2024-07-31
내포 충남개발공사,충청남도 홍성군 홍북읍 상하천로 58,충청남도 홍성군 홍북읍 신경리 900,12,N,N,041-630-1114,홍성군청,2024-07-31
내포적십자사,충청남도 홍성군 홍북읍 충남대로 118,충청남도 홍성군 홍북읍 신경리 938,10,N,N,041-630-1114,홍성군청,2024-07-31
내포 홍성기상대,충청남도 홍성군 홍북읍 홍예로 350,충청남도 홍성군 홍북읍 신경리 872,5,N,N,041-630-1114,홍성군청,2024-07-31
내포신도시버스정류장,,충청남도 예산군 삽교읍 목리 767,9,N,N,041-630-1114,홍성군청,2024-07-31
내포 장자빌딩,충청남도 홍성군 홍북읍 청사로48번길 12 장자빌딩,충청남도 홍성군 홍북읍 신경리 1194,12,N,N,041-630-1114,홍성군청,2024-07-31
내포 홍성 태경프라자,충청남도 홍성군 홍북읍 청사로48번길 10-1,충청남도 홍성군 홍북읍 신경리 1201,15,N,N,041-630-1114,홍성군청,2024-07-31
내포 홍성 아이프라자Ⅱ,충청남도 홍성군 홍북읍 홍학로 95,충청남도 홍성군 홍북읍 신경리 1188,27,N,N,041-630-1114,홍성군청,2024-07-31
내포 홍성 아이프라자,충청남도 홍성군 홍북읍 청사로48번길 4,충청남도 홍성군 홍북읍 신경리 1179,27,N,N,041-630-1114,홍성군청,2024-07-31
내포 홍성 씨에스프라자,충청남도 홍성군 홍북읍 청사로 42,충청남도 홍성군 홍북읍 신경리 1180,14,N,N,041-630-1114,홍성군청,2024-07-31
내포 홍성 승우빌딩,충청남도 홍성군 홍북읍 청사로 36,충청남도 홍성군 홍북읍 신경리 1181,16,N,N,041-630-1114,홍성군청,2024-07-31
내포 충청남도 교육청,충청남도 홍성군 홍북읍 선화로 22,충청남도 홍성군 홍북읍 신경리 544,30,N,N,041-630-1114,홍성군청,2024-07-31
내포 충남도청,충청남도 홍성군 홍북읍 충남대로 21,충청남도 홍성군 홍북읍 신경리 538,138,N,N,041-630-1114,홍성군청,2024-07-31
내포 홍북읍주민복합지원센터,충청남도 홍성군 홍북읍 홍학로 50,충청남도 홍성군 홍북읍 신경리 1364,10,N,N,041-630-1114,홍성군청,2024-07-31
홍성 광천천하상공영주차장,,충청남도 홍성군 광천읍 광천리 479-8,28,N,N,041-630-1114,홍성군청,2024-07-31
홍성 중담1공영주차장,,충청남도 홍성군 광천읍 담산리 915-56,10,N,N,041-630-1114,홍성군청,2024-07-31
